processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
Store Manager	Sales Manager
Construction Manager	Construction Supervisor
Project Coordinator	IT Project Coordinator
Quality Assurance (QA) Manager	Quality Assurance Engineer
Plant Manager	Plant Operator
Residential Manager	Case Manager
Compliance Officer	Banking Officer
Contracts Administrator	Contract Analyst
Laboratory Manager	Production Manager
Project Leader	Project Lead
Assistant Vice President (AVP)	Assistant to the Vice President
Regional Operations Manager	Operations Manager
Vice President (VP) of Sales	Vice President
Maintenance Director	Maintenance Coordinator
Vice President (VP) of Operations	Vice President
Rehabilitation Manager	Director of Rehabilitation
Finance and Insurance Manager	Finance Manager
Call Center Manager	Call Center Agent
Dietary Manager	Food Service Manager
Residence Director	Director of Career Services
Director of Analytics	Research Analyst
Credit Risk Manager	Credit Manager
Academic Director	Library Director
Facilities Manager	Maintenance Manager
Director of Risk Management	Risk Manager
Claims Manager	Claims Assistant
Research and Development (R&D) Manager	Research Manager
Grants Administrator	Trust Administrator
Store Director	Sales Director
Resource Leader	Production Leader
Reporting Manager	Financial Reporting Manager
Product Line Manager	Product Manager
Medical Supervisor	Medical Coder
Health Service Executive	Health Services Director
Head of Operations	Operations Analyst
Distribution Group Leader	Production Leader
Agency Manager	Sales Manager
Subcontracts Administrator	Trust Administrator
Photo Department Manager	Department Manager
Implementation Leader	Implementation Consultant
Cost Manager	Cost Accountant
Control Leader	Business Control Analyst
Continuous Improvement Leader	Continuous Improvement Engineer
Chief Engineer	Maintenance Assistant
Research Manager	Research Analyst
Mobility Manager	Warehouse Manager
Process Manager	Process Operator
Nurse Director	Director of Nursing
Field Service Manager	Maintenance Manager
Clinic Supervisor	Clinical Supervisor
Business Office Manager	Office Manager
Application Support Manager	IT Support Manager
Director of Research and Development	Director of Research
Value Manager	Training Manager
House Manager	Installation Manager
Fraud Manager	Fraud Investigator
Business Analytics Manager	Quality Assurance Analyst
Account Supervisor	Program Supervisor
Visual Manager	Sales Manager
Software Development Manager	Software Engineer
Shop Manager	Fabricator
Program Supervisor	Clinical Supervisor
Operations Administrator	Office Administrator
Controller	Assistant Controller
Coding Manager	Medical Coding Manager
Nurse Manager Intensive Care Unit (ICU)	Intensive Care Unit (ICU) Nurse
Environmental, Health, and Safety (EHS) Manager	Safety Manager
Accuracy (%): 84.0490797546 (411/489)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc13-categories.txt
Entry Level Sales	Sales Representative
Consumer ln Underwriter	Mortgage Underwriter
Assistant Buyer	Senior Buyer
Financial Advisor Trainee	Financial Advisor
Services Manager	Client Services Manager
Contracts Manager	Contract Manager
Kronos Analyst	Business Analyst
Processing Manager	Production Manager
Business Partner	Human Resources (HR) Business Partner
Project Estimator	Estimator
Claims Manager	Claims Assistant
Senior Estimator	Estimator
Operations Support	Operations Support Representative
Inventory Analyst	Systems Analyst
Quantitative Analyst	Risk Analyst
Assurance Manager	Quality Assurance (QA) Manager
Broker	Sales Representative
Support Analyst	IT Support Analyst
Senior Planner	Transportation Planner
Planning Manager	Manager of Financial Analysis and Planning
Pricing Analyst	Research Analyst
Financial Planning Analyst	Financial Analyst
Customer Service Analyst	Customer Service Representative
Auto Adjuster	Maintenance Machinist
Executive Recruiter	Recruiter
Lead Manager	Marketing Manager
Financial Services Manager	Director of Financial Services
Human Resource Analyst	Human Resources Analyst
Human Resources (HR) Consultant	Human Resources (HR) Manager
Training Assistant	Administrative Assistant
Structural Analyst	Structural Engineer
Regional Analyst	Clinical Research Associate (CRA)
Marketing Strategist	Research Analyst
Management Liaison	Identity Management Engineer
Logistics Operator	Logistics Supervisor
Life Insurance Underwriter	Mortgage Underwriter
Executive Consultant	Account Consultant
Analytics Leader	Research Analyst
Support Accountant	Accountant
Strategic Planner	Programmer
Staff Analyst	Systems Analyst
Sales Analyst	Assistant Analyst
Distribution Analyst	Research Analyst
Accountant Controller	Accountant
Oil and Gas Accountant	Accountant
Credit Officer	Credit Manager
Benefits Consultant	Training Consultant
Accuracy (%): 83.660130719 (256/306)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc15-categories.txt
Junior Software Engineer	Software Engineer
Application Developer	Java Developer
Clinical Systems Analyst	Systems Analyst
IT Manager	Information Technology (IT) Manager
IT Field Technician	Field Technician
Senior IT Consultant	Staff Consultant
IT Support Manager	Support Services Manager
Process Analyst	Process Improvement Analyst
IT Field Engineer	Field Engineer
Information Security Architect	Information Architect
Reporting Analyst	Business Analyst
Graphics Software Engineer	Software Engineer
Release Manager	Project Manager
Senior Java Software Engineer	Software Engineer
Telecommunications Engineer	Systems Engineer
Help Desk Analyst	IT Help Desk Specialist
IT Subject Matter Expert	Logistics Support Manager
Delivery Manager	Delivery Director
Senior Technician	Engineering Technician
Oracle SCM Planning Subject Matter Expert	IT Subject Matter Expert
Database Report Writer	Reports Writer
Performance Analyst	Business Analyst
Quantitative Developer	C Developer
Operations Lead	Warehouse Lead
Client Services Analyst	Services Manager
Project Controls Analyst	Project Analyst
Data Consultant	Managing Consultant
Cyber Security Analyst	Information Security Analyst
Software Configuration Engineer	Software Engineer
Solutions Manager	Solutions Executive
Manager - IT Change Management	Location Manager
User Interface Designer	User Interface Developer
IT Support Specialist	IT Help Desk Specialist
QA Specialist	Quality Control Specialist
IT Operations Specialist	Operations Analyst
Integration Manager	Systems Integration Manager
IT Support Administrator	Support Administrator
Business Intelligence Analyst	Business Analyst
Mobile Software Engineer	Software Engineer
Technologist	Engineering Technologist
Senior Quality Assurance Engineer	Quality Assurance Engineer
Software Specialist	Collections Specialist
Lead Information Security Engineer	Security Engineer
Solutions Analyst	Business Analyst
Requirements Management Analyst	Change Management Analyst
Product Analyst	Research Analyst
IT Operations Administrator	Office Administrator
Software Design Engineer	Software Engineer
SQL Server SSIS Developer	SQL Developer
AS400 RPG Programmer	Programmer
Business Intelligence Consultant	Business Consultant
Business Systems Support Analyst	Systems Analyst
Integration Technician	Aircraft Technician
Coding Analyst	Clinical Analyst
C# Developer	C Developer
Security Architect	Information Security Architect
Cyber Analyst	Cyber Security Analyst
Support Engineer	IT Support Engineer
Software Development Manager	Software Engineer
Operations Administrator	Office Administrator
Coding Manager	Medical Coding Manager
Quality Assurance (QA) Associate	Quality Assurance Engineer
Accuracy (%): 81.3131313131 (322/396)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc17-categories.txt
Radio Frequency Technician	Radio Frequency Engineer
Control Specialist	Business Control Analyst
Telecommunications Engineer	Systems Engineer
Quality Control Lead	Quality Lead
PLC Technician	PLC Maintenance Technician
Project Coordinator	IT Project Coordinator
Planner	Production Planner
Project Leader	Project Lead
I & C Technician	Engineering Technician
Process Improvement Manager	Process Manager
Circuit Design Engineer	Design Engineer
Sheet Metal Engineer	Operating Engineer
Industrial Engineering Technician	Industrial Engineer
Electrical Controls Programmer	Electrical Apprentice
RF Optimization Engineer	Radio Frequency Engineer
Lead Technician	Maintenance Manager
Scientist	Research Scientist
Building Engineer	Building Maintenance Worker
Laboratory Engineer	Laboratory Technician
